"photo_id","year","county","point_x","point_y"
"ARW-2-37",1938,"Cayuga",375751.53,4743835.97
"ARW-2-39",1938,"Cayuga",375650.96,4740794.97
"ARW-2-41",1938,"Cayuga",375059.09,4737926.59
"ARW-2-43",1938,"Cayuga",375226.37,4734983.21
"ARW-2-45",1938,"Cayuga",375075.81,4732290.74
"ARW-2-47",1938,"Cayuga",374908.53,4729263.72
"ARW-2-49",1938,"Cayuga",374803.98,4726504.34
"ARW-2-51",1938,"Cayuga",374886.84,4723604.64
"ARW-2-53",1938,"Cayuga",375163.95,4720529.67
"ARW-2-60",1938,"Cayuga",378233.51,4724376.22
"ARW-2-62",1938,"Cayuga",378372.00,4726518.87
"ARW-2-78",1938,"Cayuga",378517.00,4748070.91
"ARW-2-80",1938,"Cayuga",378435.56,4750369.11
"ARW-2-82",1938,"Cayuga",378458.62,4752891.05
"ARW-2-84",1938,"Cayuga",378343.29,4755401.46
"ARW-2-86",1938,"Cayuga",378643.16,4758061.81
"ARW-2-88",1938,"Cayuga",379046.84,4760641.42
"ARW-2-90",1938,"Cayuga",379144.01,4763483.73
"ARW-2-92",1938,"Cayuga",378987.57,4765986.69
"ARW-2-94",1938,"Cayuga",378970.19,4768663.47
"ARW-2-96",1938,"Cayuga",378787.67,4771435.86
"ARW-2-98",1938,"Cayuga",378770.29,4773869.29
"ARW-2-100",1938,"Cayuga",378830.70,4776711.46
"ARW-2-102",1938,"Cayuga",379021.91,4779388.24
"ARW-3-12",1938,"Cayuga",363180.75,4766819.23
"ARW-3-14",1938,"Cayuga",363233.55,4769682.02
"ARW-3-18",1938,"Cayuga",363782.54,4775867.64
"ARW-3-22",1938,"Cayuga",363971.55,4782008.92
"ARW-3-24",1938,"Cayuga",363996.63,4785094.32
"ARW-3-26",1938,"Cayuga",364046.78,4788041.78
"ARW-3-28",1938,"Cayuga",364034.25,4791039.40
"ARW-3-30",1938,"Cayuga",364186.51,4793988.81
"ARW-3-32",1938,"Cayuga",363949.60,4797077.63
"ARW-3-40",1938,"Cayuga",360214.84,4800096.77
"ARW-3-41",1938,"Cayuga",360228.78,4798600.75
"ARW-3-43",1938,"Cayuga",360186.97,4795627.55
"ARW-3-45",1938,"Cayuga",359824.64,4792751.90
"ARW-3-47",1938,"Cayuga",360220.27,4790309.38
"ARW-3-49",1938,"Cayuga",360463.39,4787579.28
"ARW-3-51",1938,"Cayuga",360670.86,4784801.73
"ARW-3-53",1938,"Cayuga",360675.07,4782069.39
"ARW-3-55",1938,"Cayuga",360462.27,4779240.52
"ARW-3-57",1938,"Cayuga",360030.83,4776593.59
"ARW-3-59",1938,"Cayuga",359799.68,4773807.55
"ARW-3-61",1938,"Cayuga",359782.23,4771086.18
"ARW-5-61",1938,"Cayuga",390725.66,4740100.91
"ARW-3-63",1938,"Cayuga",359363.26,4768056.81
"ARW-3-65",1938,"Cayuga",359421.05,4765314.12
"ARW-3-70",1938,"Cayuga",382125.10,4761990.95
"ARW-3-71",1938,"Cayuga",382032.78,4760498.43
"ARW-3-72",1938,"Cayuga",382021.24,4758982.83
"ARW-3-73",1938,"Cayuga",381975.08,4757640.33
"ARW-3-75",1938,"Cayuga",381767.35,4754601.39
"ARW-3-77",1938,"Cayuga",381663.49,4751527.84
"ARW-3-78",1938,"Cayuga",381571.16,4750058.39
"ARW-3-80",1938,"Cayuga",381433.88,4747142.51
"ARW-3-82",1938,"Cayuga",381589.82,4743895.52
"ARW-3-84",1938,"Cayuga",381289.92,4741080.38
"ARW-3-86",1938,"Cayuga",381553.84,4738061.32
"ARW-3-88",1938,"Cayuga",381901.72,4735078.24
"ARW-3-90",1938,"Cayuga",381754.54,4731974.12
"ARW-3-92",1938,"Cayuga",381815.85,4728880.36
"ARW-3-94",1938,"Cayuga",381852.63,4726044.11
"ARW-3-96",1938,"Cayuga",381656.44,4723146.54
"ARW-3-97",1938,"Cayuga",381779.06,4721254.43
"ARW-3-99",1938,"Cayuga",381791.32,4717976.75
"ARW-3-100",1938,"Cayuga",381796.49,4715501.33
"ARW-4-02",1938,"Cayuga",379372.00,4781396.00
"ARW-4-04",1938,"Cayuga",379372.00,4784546.79
"ARW-4-06",1938,"Cayuga",379470.14,4787613.46
"ARW-4-08",1938,"Cayuga",379401.49,4790288.26
"ARW-4-13",1938,"Cayuga",373530.03,4789602.12
"ARW-4-15",1938,"Cayuga",373382.55,4787146.28
